Duration,Date,Pulse,Maxpulse,Calories,TotalCalories,Potencia
60,'2020/12/01',110,130,409.1,409.1,6.818333333333333
60,'2020/12/02',117,145,479.0,888.1,7.983333333333333
60,'2020/12/03',103,135,340.0,1228.1,5.666666666666667
45,'2020/12/04',109,175,282.4,1510.5,6.275555555555555
45,'2020/12/05',117,148,406.0,1916.5,9.022222222222222
60,'2020/12/06',102,127,300.0,2216.5,5.0
60,'2020/12/07',110,136,374.0,2590.5,6.233333333333333
450,'2020/12/08',104,134,253.3,2843.8,0.5628888888888889
30,'2020/12/09',109,133,195.1,3038.9,6.503333333333333
60,'2020/12/10',98,124,269.0,3307.9,4.483333333333333
60,'2020/12/11',103,147,329.3,3637.2000000000003,5.488333333333333
60,'2020/12/12',100,120,250.7,3887.9,4.178333333333333
60,'2020/12/13',106,128,345.3,4233.2,5.755
60,'2020/12/14',104,132,379.3,4612.5,6.321666666666667
60,'2020/12/15',98,123,275.0,4887.5,4.583333333333333
60,'2020/12/16',98,120,215.2,5102.7,3.5866666666666664
60,'2020/12/17',100,120,300.0,5402.7,5.0
60,'2020/12/19',103,123,323.0,5725.7,5.383333333333334
45,'2020/12/20',97,125,243.0,5968.7,5.4
60,'2020/12/21',108,131,364.2,6332.9,6.069999999999999
60,'2020/12/23',130,101,300.0,6632.9,5.0
45,'2020/12/24',105,132,246.0,6878.9,5.466666666666667
60,'2020/12/25',102,126,334.5,7213.4,5.575
60,20201226,100,120,250.0,7463.4,4.166666666666667
60,'2020/12/27',92,118,241.0,7704.4,4.016666666666667
60,'2020/12/29',100,132,280.0,7984.4,4.666666666666667
60,'2020/12/30',102,129,380.3,8364.699999999999,6.338333333333334
60,'2020/12/31',92,115,243.0,8607.699999999999,4.05
